Topic,Media,Sentence,Sentiment
usa,Fronda,Mosbacher o kampanii Konfederacji: Mowa nienawiœci!!! ,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,Fronda,S¹ ZARZUTY dla sprawcy napadu na Magierowskiego   ,"{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 3, 'strach': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

rz¹d,Fronda,DOŒÆ pob³a¿ania pedofilom!Sejm przeg³osowa³ nowelizacjê,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Fronda,Burzliwe obrady. AGRESYWNE zachowanie Nitrasa w Sejmie,"{'smutek': 2, 'z³oœæ': 1, 'strach': 1}"

ue,Fronda,Prof. Krasnodêbski:Superpañstwo UE to nierealny koszmar,"{'strach': 2, 'smutek': 1, 'z³oœæ': 1}"

pis,Fronda,Brawo PiS!!! Nieustêpliwoœæ zosta³a nagrodzona,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'zaufanie': 1, 'z³oœæ': 1}"

koœció³,Fronda,Ks. Isakowicz: Lobby homoseksualne jest jak nowotwór,"{'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Fronda,Sikorski do Niemców: Reparacje to cyniczna gra PiS,"{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Fronda,Mocny spot PiS! Obroñ prawo do wychowywania dzieci!,{'zaufanie': 1}

pis,Fronda,Ziobro: Bêdziemy ¿elazem wypalaæ pedofiliê!!!,"{'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 2, 'smutek': 1, 'strach': 1, 'wstrêt': 1}"

rosja,Fronda,Rosja musi uwolniæ marynarzy i zwróciæ Ukrainie okrêty,"{'radoœæ': 1, 'smutek': 1, 'strach': 1, 'zaufanie': 1, 'z³oœæ': 1}"

wêgry,Fronda,Orban:To koniec niemiecko-francuskiej osi w Europie!!!,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Fronda,Dlaczego trzeba iœæ na wybory? Lider PiS wyjaœnia ,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaufanie': 1}"

pis,Fronda,Prezes PiS:Nie bêdziemy p³aciæ za niemieckie zbrodnie!,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Fronda,Komisja ds. pedofilii: Kaczyñski robi zamach na episkopat,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

koœció³,Fronda,o. T. Rydzyk: Potop marksizmu chce zatopiæ nasz¹ wiarê!,"{'radoœæ': 1, 'smutek': 1}"

niemcy,Fronda,Polityczna poprawnoœæ knebluje Niemcy ,"{'radoœæ': 1, 'zaufanie': 1}"

koœció³,Fronda,Ks. Ma³kowski: Deprawatorzy dzieci atakuj¹ Koœció³,"{'smutek': 4, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 4}"

koœció³,Fronda,Ks. Wachowiak o marszu w Gdañsku: Obrzydliwe...,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Fronda,"Ks. Oko: Marksiœci mogli mordowaæ, mog¹ i k³amaæ","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Fronda,Polacy po raz czwarty wybieraj¹ przedstawicieli do PE,"{'strach': 2, 'z³oœæ': 2}"

koœció³,Fronda,Papie¿: Otwórzcie siê na Ducha Œwiêtego!,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'zaufanie': 1}"

koœció³,Fronda,",Twierdzenie, ¿e ca³y Koœció³ jest z³y, jest nieprawd¹'","{'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koœció³,Fronda,Ks. Bortkiewicz: Apel do rodziców ws. nawa³y genderyzmu,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

ue,Fronda,W Niemczech wybory do PE wygra³a chadecja,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

koœció³,Fronda,Ordo Iuris pomaga œwiadkom profanacji w Gdañsku,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Fronda,To ju¿ jest POGROM!!! 46 proc. Polaków chce rz¹dów PiS,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

pis,Fronda,Ogromna przewaga PiS! Oto oficjalne wyniki wyborów,"{'radoœæ': 1, 'smutek': 1}"

rosja,Fronda,"Rosja boi siê ,,gwiezdnych wojen''",{'radoœæ': 1}

francja,Fronda,Francja coraz bardziej antysemicka. ¯ydzi uciekaj¹...,"{'smutek': 1, 'z³oœæ': 1}"

koœció³,Fronda,Ks. Kowalczyk: Stuhr nie ogarnia rozumem wyborów...,"{'radoœæ': 2, 'zaufanie': 2}"

rz¹d,Fronda,ABW zatrzyma³o 5 osób. Chodzi o 50 mln z³ podatku VAT,{'radoœæ': 1}

rz¹d,Fronda,",,Fenomenalna frekwencja''. Prezydent komentuje wybory","{'radoœæ': 1, 'zaufanie': 1}"

polska,Fronda,Targalski: Ustawa 447 jest niebezpieczna dla Polski,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Fronda,Pomys³ na pokonanie PiS?Zabawne t³umaczenie Schetyny ,{'radoœæ': 1}

koalicja obywatelska,Fronda,To koniec Koalicji Europejskiej? Neumann przyznaje,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

lewica,Fronda,"Hartman: Wygra³o chamstwo, korupcja, ¿ydo¿erstwo ","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Fronda,"Niemiecka gazeta p³acze, bo PiS wygra³o wybory","{'radoœæ': 2, 'smutek': 1, 'z³oœæ': 1, 'cieszenie siê na coœ oczekiwanego': 1}"

koœció³,Fronda,Chmielewski:Gdzie prowadzi Koœció³ niemiecka rewolucja?,"{'radoœæ': 1, 'smutek': 1, 'strach': 1}"

muzu³manie,Fronda,Islam i niewolnictwo seksualne. Fakty,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rosja,Fronda,Rosja patrzy na wybory do PE i myœli nad zmian¹ taktyki,"{'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2, 'strach': 2, 'zaskoczenie czymœ nieprzewidywanym': 2}"

konfederacja,Fronda,Konflikt w Konfederacji. Korwin-Mikke chce w³adzy,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koœció³,Fronda,Papie¿: Duch Œwiêty czyni nas zawsze m³odymi,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'zaufanie': 1}"

koalicja obywatelska,Fronda,Tarczyñski: Opozycja jest w spirali nienawiœci,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Fronda,M¹dry po szkodzie... Kukiz rozwa¿a za³o¿enie partii,"{'smutek': 2, 'z³oœæ': 2}"

koœció³,Fronda,Biskup Piotrowski szczerze o problemie pedofilii,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Fronda,"KuŸniar kpi z Szyd³o: ,,To matka Polka""","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

wiosna,Fronda,Biedroñ odda swój mandat do PE! ,{'zaufanie': 2}

niemcy,Fronda,Niemcy namawiaj¹ do noszenia jarmu³ki. Ale¿ absurd!,"{'wstrêt': 1, 'z³oœæ': 1}"

ue,Fronda,Rada UE nie bêdzie dyskutowaæ o praworz¹dnoœci w Polsce,{'zaufanie': 1}

koalicja obywatelska,Fronda,Stankiewicz: Schetyna poniós³ ogromn¹ pora¿kê,"{'radoœæ': 1, 'smutek': 1}"

media,Fronda,¯akowski:Liderzy opozycji- na naukê do pana Jaros³awa!,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaufanie': 1}"

pis,Fronda,Nauczycielka:Pañstwo PiS niebezpieczne jak Czarnobyl!!!,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Fronda,Papie¿ Franciszek: Nie ma zgody na akty homoseksualne,"{'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2, 'zaufanie': 2}"

kukiz15,Fronda,Kukiz wst¹pi do PiS? Jest odpowiedŸ polityka,"{'radoœæ': 2, 'zaufanie': 2}"

koalicja obywatelska,Fronda,",,GW'':Trzaskowski na bulwarach. Internet bezlitosny","{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

niemcy,Fronda,Triumf Zielonych. Walec neomarksizmu niszczy Niemcy,"{'smutek': 1, 'z³oœæ': 1}"

koalicja obywatelska,Fronda,Ale¿ cyniczne! Tusk boi siê komisji œledczej ds. VAT?,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

niemcy,Fronda,Kiedy Polacy bêd¹ tak bogaci jak Niemcy?,"{'radoœæ': 1, 'z³oœæ': 1}"

koœció³,Fronda,Papie¿ Franciszek: Indywidualizm to profanacja,"{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

koalicja obywatelska,Fronda,"KuŸniar tak wœciek³y po pora¿ce KE,¿e drwi z Biedronia","{'cieszenie siê na coœ oczekiwanego': 3, 'radoœæ': 3, 'strach': 3, 'wstrêt': 6, 'z³oœæ': 6, 'smutek': 3}"

rosja,Fronda,Sztuczna inteligencja-tak Putin chce zaw³adn¹æ œwiatem!,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Fronda,I STA£O SIÊ! Schetyna 'po³yka' Nowoczesn¹! ,{'zaufanie': 1}

niemcy,Gazeta,Samolot Angeli Merkel uszkodzony w Dortmundzie. Wjecha³ w niego samochód,{'z³oœæ': 1}

usa,Gazeta,Jacht Polskiej Fundacji Narodowej stoi uszkodzony w porcie w USA. Jest oœwiadczenie fundacji,{'z³oœæ': 1}

koœció³,Gazeta,"£ódzka kuria przedstawi³a ""zasady ochrony"". Ksi¹dz mo¿e uœcisn¹æ dziecku d³oñ, poca³owaæ - nie",{'cieszenie siê na coœ oczekiwanego': 1}

pis,Gazeta,Zas³onili siedziby PiS i PO czarnymi p³achtami. Policja zatrzyma³a 46 aktywistów,"{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"

ue,Gazeta,"Pensje w PE s¹ wysokie, ale hojne dodatki mo¿na straciæ","{'radoœæ': 2, 'zaufanie': 2}"

koalicja obywatelska,Gazeta,"Po ""Tylko nie mów nikomu"". Kard. Nycz o ks. Olejniczaku: Z³ama³ mój zakaz pracy z dzieæmi","{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

koœció³,Gazeta,Ks. Kobyliñski w Gazeta.pl: Do 2001 roku pedofiliê w Koœciele tuszowano i kryto systemowo,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,Gazeta,Rz¹d chce zaostrzyæ kary dla pedofilów. Jutro Sejm zajmie siê projektem zmian w kodeksie karnym,"{'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Gazeta,"Gryglas przyznaje, ¿e s³owa o ""Mein Kampf"" w kontekœcie filmu Sekielskiego by³y ""niefortunne""","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Gazeta,"Marek Lisiñski o pedofilii wœród ksiê¿y: Koœció³ od dawnych lat wiedzia³, co siê dzieje","{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Gazeta,"""Tylko nie mów nikomu"". Biskup Andrzej Suski mo¿e byæ pozbawiony tytu³u honorowego obywatela","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,Gazeta,Marek Magierowski zaatakowany pod ambasad¹ w Tel Awiwie. Morawiecki mówi o rasistowskim ataku,"{'smutek': 4, 'wstrêt': 4, 'z³oœæ': 4}"

usa,Gazeta,"USA. Alabama zakazuje aborcji w niemal wszystkich przypadkach, w tym gwa³tu i kazirodztwa","{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rz¹d,Gazeta,Atak na Marka Magierowskiego. Jest oœwiadczenie strony izraelskiej: Jesteœmy wstrz¹œniêci,"{'radoœæ': 1, 'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"

polska,Gazeta,Gdañsk. Wypadek w tunelu pod Martw¹ Wis³¹. Jedna osoba zosta³a ranna [WIDEO],"{'smutek': 1, 'strach': 1}"

koœció³,Gazeta,"Abp S³awoj Leszek G³ódŸ przeprasza za wypowiedŸ o filmie Sekielskiego. ""U¿y³em niew³aœciwych s³ów""","{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rz¹d,Gazeta,"Wiadomo, kim jest mê¿czyzna, który oplu³ Marka Magierowskiego. S¹d o incydencie: Pod³e",{'smutek': 1}

pis,Gazeta,Andrzej Duda w Myœlenicach: Nie bêdzie mojej zgody na zwrot maj¹tku sprzed II wojny œwiatowej,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 2, 'zaufanie': 1}"

koalicja obywatelska,Gazeta,"Opozycja o pedofilii w Koœciele. Budka do PiS: Wasi kandydaci wisz¹ na p³otach koœcielnych. ""Nie klêczcie przed biskupami""","{'smutek': 3, 'strach': 3, 'wstrêt': 3, 'z³oœæ': 3}"

pis,Gazeta,Ustawa zaostrzaj¹ca kary dla pedofilów w Sejmie. Morawiecki mówi³ o lustracji i dekomunizacji,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

polska,Gazeta,"Kostrzyn nad Odr¹. Grupa mê¿czyzn zaatakowa³a no¿ami spaceruj¹c¹ parê. On zmar³, ona walczy o ¿ycie","{'smutek': 1, 'wstrêt': 2, 'z³oœæ': 2, 'radoœæ': 1}"

usa,Gazeta,"USA ewakuuj¹ dyplomatów z Iraku. Niemcy wstrzymuj¹ misjê szkoleniow¹. ""Niebezpieczna sytuacja""","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Gazeta,"Legutko: ""Nadu¿ycia dotycz¹ ch³opców 12-17 lat. To nie jest ¿adna pedofilia, to jest pederastia""","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

koœció³,Gazeta,"Kard. Nycz zmieni³ zdanie. Teraz wyst¹pi³by w ""Tylko nie mów nikomu"". ""Pragnê za to przeprosiæ""","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Gazeta,"Ryszard Legutko: To nie pedofilia a ""lawendowa mafia"" jest g³ównym problemem Koœcio³a","{'smutek': 2, 'strach': 4, 'wstrêt': 2, 'z³oœæ': 4}"

koœció³,Gazeta,"""Tylko nie mów nikomu"". O. Leon Knabit przeprasza za swój komentarz na temat filmu Sekielskich","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1, 'zaufanie': 1}"

rz¹d,Gazeta,Premier Mateusz Morawiecki ma problemy z wylotem do Brukseli. Powodem strajk,{'z³oœæ': 2}

ue,Gazeta,"Frans Timmermans: Je¿eli Europa Œrodkowa nie bêdzie solidarna z UE, wróc¹ granice","{'radoœæ': 3, 'zaufanie': 3}"

koœció³,Gazeta,"O. Rydzyk zabra³ g³os w sprawie ""Tylko nie mów nikomu"". ""Wyci¹gniêto maczugê pedofilii""","{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2, 'strach': 1}"

koalicja obywatelska,Gazeta,Micha³ Boni: Zaostrzenie kar za pedofiliê to pokazówka Ziobry. To budzenie kolejnego demona,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

ue,Gazeta,Timmermans blisko stanowiska szefa Komisji Europejskiej. Dla PiS-u by³by to scenariusz rodem z koszmaru,"{'radoœæ': 1, 'zaufanie': 1}"

pis,Gazeta,"Politycy PiS odcinaj¹ siê od s³ów Legutki, nawet Mazurek. Europose³ wyda³ oœwiadczenie ws. ""pedofilii i pederastii""","{'smutek': 4, 'strach': 4, 'wstrêt': 4, 'z³oœæ': 4}"

koœció³,Gazeta,Oœwiadczenie KEP: Arcybiskup Charles Scicluna przyje¿d¿a na specjalne zaproszenie Episkopatu,"{'radoœæ': 3, 'wstrêt': 3}"

wiosna,Gazeta,"Robert Biedroñ i Jerzy Owsiak apeluj¹ do Jacka Kurskiego o emisjê ""Tylko nie mów nikomu"" w TVP","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

wiosna,Gazeta,Wiosna z³o¿y³a pozew przeciwko S³awomirowi Neumannowi. Biedroñ: P³ytkie zagrywki polityczne,"{'smutek': 3, 'strach': 3}"

usa,Gazeta,"Georgette Mosbacher odpowiada Konfederacji ws. ustawy 447. Zarzuca dzia³aczom ""mowê nienawiœci""","{'radoœæ': 1, 'wstrêt': 2, 'z³oœæ': 2, 'smutek': 1}"

rz¹d,Gazeta,Sprawca zniewa¿enia Marka Magierowskiego us³ysza³ zarzuty. Grozi mu do 5 lat wiêzienia,"{'z³oœæ': 2, 'smutek': 1, 'wstrêt': 1}"

pis,Gazeta,Prawniczka reprezentuj¹ca ofiary ksiê¿y pedofilów o s³owach Legutki: Oburzaj¹ce i nie do przyjêcia,"{'smutek': 2, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 2}"

rz¹d,Gazeta,"Zmiana ""wieku decyzji"" i rejestr pedofilów to fasadowa walka. Rz¹d powo³a komisjê albo bêdzie wspó³winny [ANALIZA]","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'strach': 2, 'zaskoczenie czymœ nieprzewidywanym': 1, 'wstrêt': 3, 'z³oœæ': 3, 'smutek': 2}"

polska,Gazeta,Strzelce Opolskie. By³y ksi¹dz skazany za molestowanie 13-letniego ministranta. Ofiara przemawia³a w Sejmie,"{'strach': 1, 'wstrêt': 1, 'z³oœæ': 1, 'smutek': 1}"

rz¹d,Gazeta,Ostrzejsze kary dla przestêpców seksualnych. Sejm przyj¹³ nowelizacjê Kodeksu karnego,"{'zaufanie': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Gazeta,"Awantura w Sejmie. Nitras po³o¿y³ przy Kaczyñskim dzieciêce buciki. ""To mia³ byæ symbol""","{'strach': 1, 'z³oœæ': 1}"

usa,Gazeta,USA: Katastrofa lotnicza F-16. Podczas æwiczeñ samolot wlecia³ w dach magazynu,"{'smutek': 1, 'strach': 1}"

koœció³,Gazeta,"""Tylko nie mów nikomu"". Bp senior Suski odpowiada na zarzuty po filmie Sekielskich. ""Bezpodstawne""","{'smutek': 6, 'wstrêt': 4, 'z³oœæ': 6}"

koœció³,Gazeta,"Prof. Stanis³aw Obirek dla Gazeta.pl: Koœció³ siê sam nie oczyœci, potrzebna jest interwencja z zewn¹trz","{'cieszenie siê na coœ oczekiwanego': 1, 'zaufanie': 1}"

wielka brytania,Gazeta,"Ekologiczna rebelia zablokowa³a Londyn. Pokazali, ¿e protesty dzia³aj¹ [PI¥TKI DLA KLIMATU]","{'strach': 1, 'z³oœæ': 2, 'radoœæ': 1, 'smutek': 1}"

pis,Gazeta,"Pose³ PiS t³umaczy s³owa Legutki o ""pederastii"". ""W staro¿ytnej Grecji uwa¿ano coœ takiego za korzystne""","{'radoœæ': 4, 'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Gazeta,"""Tylko nie mów nikomu"" tematem kampanii. PiS oskar¿a PO o krycie pedofilów. Opozycja mówi o manipulacji","{'smutek': 3, 'wstrêt': 6, 'z³oœæ': 6, 'strach': 3}"

koalicja obywatelska,Gazeta,Zdrojewski dla Gazeta.pl: Do Grzegorza Schetyny mam pretensje o brak odwagi i pewnej rzetelnoœci,"{'smutek': 2, 'z³oœæ': 2, 'zaufanie': 1}"

rz¹d,Gazeta,"ABW zatrzyma³o Polaka podejrzanego o planowanie zamachu. Mia³ byæ wymierzony w ""przeciwników Islamu""","{'smutek': 1, 'strach': 1, 'zaufanie': 1, 'z³oœæ': 1}"

koœció³,Gazeta,"Abp Grzegorz Ryœ o pedofilach w sutannach. ""Œwiêcenia nie odbieraj¹ nikomu zdolnoœci do grzechu""","{'strach': 1, 'wstrêt': 3, 'z³oœæ': 3, 'smutek': 2}"

koalicja obywatelska,Gazeta,"Joanna Mucha w Gazeta.pl: Chcemy karaæ tych, którzy wiedzieli o pedofilii i milczeli - biskupów te¿","{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

polska,Gazeta,"Lublin: Wojewoda Przemys³aw Czarnek przyzna³ medale za walkê z LGBT. ""Homoseksualizm przyczyn¹ pedofilii""","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

